date,article,msft
2015-11-11,http://www.ibtimes.com/press-release/20151111/strategy-analytics-androids-developer-tools-lag-behind-apple-microsoft,msft,
2015-11-11,http://www.ibtimes.com/microsoft-lumia-950-xl-lumia-950-lumia-550-surface-pro-4-release-date-price-2178993,msft,
2015-11-11,http://www.ibtimes.com/press-release/20151111/vaultize-showcasing-its-enterprise-digital-rights-management-secure-file,msft,
2015-11-11,http://www.ibtimes.com/windows-10-mobile-update-schedule-old-lumia-phones-surfaces-2178866,msft,
2015-11-10,http://www.ibtimes.com/press-release/20151110/global-lcos-projector-market-2015-2019-2178502,msft,
2015-11-10,http://www.ibtimes.com/microsofts-first-uk-data-center-addresses-privacy-concerns-shows-satya-nadellas-focus-2177702,msft,
2015-11-10,http://www.ibtimes.com/press-release/20151110/microsoft-dynamics-ax-provides-enhanced-functionality-automotive-industry,msft,
2015-11-10,http://www.ibtimes.com/press-release/20151110/learning-analytics-market-reach-2144-million-2019-growing-25-cagr-2177627,msft,
2015-11-10,http://www.ibtimes.com/microsoft-ceo-satya-nadella-shows-iphone-pro-reveals-how-much-time-he-spends-email-2177298,msft,
2015-11-10,http://www.ibtimes.com/lumia-950-release-date-delayed-due-windows-hello-iris-scanner-issues-2177283,msft,
2015-11-10,http://www.ibtimes.com/apples-ipad-pro-finally-heralds-post-pc-era-tim-cook-2176989,msft,
2015-11-10,http://www.ibtimes.com/press-release/20151110/epson-adds-two-portable-projectors-its-ex-series-smbs-2177017,msft,
2015-11-09,http://www.ibtimes.com/press-release/20151109/raging-capital-urges-shareholders-vote-against-mellanox-merger-election-ken,msft,
2015-11-09,http://www.ibtimes.com/press-release/20151109/beekeeper-data-raises-550k-launches-their-reporting-platform-hadoop-spark,msft,
2015-11-09,http://www.ibtimes.com/press-release/20151109/jive-appoints-electronic-arts-executive-gabrielle-toledano-board-directors,msft,
2015-11-09,http://www.ibtimes.com/press-release/20151109/jive-software-announces-third-quarter-2015-financial-results-2176298,msft,
2015-11-09,http://www.ibtimes.com/xbox-one-backwards-compatibility-all-104-xbox-360-games-available-launch-revealed-2176061,msft,
2015-11-09,http://www.ibtimes.com/ipad-pro-release-date-revealed-apple-inc-takes-surface-pro-4-2175742,msft,
2015-11-09,http://www.ibtimes.com/press-release/20151109/te-connectivity-razorfish-expand-partnership-drive-digital-transformation,msft,
2015-11-09,http://www.ibtimes.com/press-release/20151109/virtual-reality-gaming-market-expand-392-cagr-2013-2019-thanks-rising,msft,
2015-11-09,http://www.ibtimes.com/press-release/20151109/logicalis-global-survey-nearly-half-all-cios-transitioning-internal-service,msft,
2015-11-09,http://www.ibtimes.com/press-release/20151109/episerver-announces-product-convergence-milestone-digital-experience-cloud,msft,
2015-11-09,http://www.ibtimes.com/press-release/20151109/sahara-group-joins-un-sdgf-others-sustainability-report-launch-2174920,msft,
2015-11-08,http://www.ibtimes.com/activist-stampede-drives-board-directors-shareholders-arms-2174548,msft,
2015-11-08,http://www.ibtimes.com/coding-boot-camps-go-after-veterans-take-silicon-valleys-vacant-tech-jobs-2174421,msft,
2015-11-06,http://www.ibtimes.com/zero-day-software-flaws-center-data-security-debate-2174123,msft,
2015-11-06,http://www.ibtimes.com/press-release/20151106/apttus-global-philanthropic-efforts-set-example-growing-companies-2173694,msft,
2015-11-06,http://www.ibtimes.com/press-release/20151106/wgu-announces-125000-new-scholarships-veterans-2173573,msft,
2015-11-06,http://www.ibtimes.com/yo-kai-watch-fever-finally-reaches-north-america-nintendo-3ds-release-2173522,msft,
2015-11-06,http://www.ibtimes.com/press-release/20151106/retail-analytics-market-worth-usd-51-billion-usd-2020-2173442,msft,
2015-11-06,http://www.ibtimes.com/press-release/20151106/university-connecticuts-womens-basketball-head-coach-geno-auriemma-presented,msft,
2015-11-06,http://www.ibtimes.com/press-release/20151106/comscore-reports-september-2015-us-smartphone-subscriber-market-share-2173149,msft,
2015-11-06,http://www.ibtimes.com/press-release/20151106/office-365-users-must-be-concerned-about-protecting-confidential-email-data,msft,
2015-11-06,http://www.ibtimes.com/press-release/20151106/hybrid-pc-market-revenue-grow-215-cagr-2019-cloud-computing-investment,msft,
2015-11-06,http://www.ibtimes.com/press-release/20151106/augmented-reality-market-worth-568-billion-usd-2020-2172975,msft,
2015-11-06,http://www.ibtimes.com/press-release/20151106/raging-capital-urges-shareholders-not-allow-mellanox-capture-all-upside,msft,
2015-11-06,http://www.ibtimes.com/best-buy-pre-black-friday-sale-bring-attractive-discounts-apple-tv-macbook-air-2172524,msft,
2015-11-06,http://www.ibtimes.com/apple-ipad-pro-pencil-release-update-survey-says-75-apple-fans-are-waiting-2-1-tablet-2172517,msft,
2015-11-05,http://www.ibtimes.com/press-release/20151105/healthcare-mobility-solutions-market-products-services-application-end-user,msft,
2015-11-05,http://www.ibtimes.com/press-release/20151105/hybrid-device-market-global-industry-analysis-size-share-growth-trends,msft,
2015-11-05,http://www.ibtimes.com/press-release/20151105/ebridge-connections-extends-integration-capabilities-releases-connector,msft,
2015-11-05,http://www.ibtimes.com/press-release/20151105/software-service-saas-market-global-industry-analysis-size-share-growth,msft,
2015-11-05,http://www.ibtimes.com/press-release/20151105/meteor-flatiron-school-announce-scholarship-program-teach-coding-high-school,msft,
2015-11-05,http://www.ibtimes.com/press-release/20151105/smb-it-market-bric-2015-2019-reportlinker-review-2172133,msft,
2015-11-05,http://www.ibtimes.com/press-release/20151105/ceo-power-light-intriguing-new-executive-book-2171734,msft,
2015-11-05,http://www.ibtimes.com/facebook-inc-fb-stock-5-percent-securing-social-networks-spot-300-billion-club-2170918,msft,
2015-11-05,http://www.ibtimes.com/blackberry-os-days-numbered-canadian-smartphone-maker-loses-more-ground-2170756,msft,
2015-11-05,http://www.ibtimes.com/press-release/20151105/verificient-technologies-joins-student-privacy-pledge-2170671,msft,
2015-11-05,http://www.ibtimes.com/press-release/20151105/american-girlr-debuts-new-digital-content-girls-about-girls-starring-girls,msft,
2015-11-05,http://www.ibtimes.com/microsofts-satya-nadella-talks-productivity-heritage-google-challenges-office-365-2170469,msft,
2015-11-05,http://www.ibtimes.com/playstation-4-free-game-will-be-available-massive-discount-price-299-nov-14-2170417,msft,
2015-11-05,http://www.ibtimes.com/one-direction-perform-2015-american-music-awards-charlie-puth-meghan-trainor-joins-2170414,msft,
2015-11-04,http://www.ibtimes.com/press-release/20151104/former-microsoft-executive-dr-shipeng-li-appointed-chief-technology-officer,msft,
2015-11-04,http://www.ibtimes.com/press-release/20151104/coca-cola-campaign-wins-connection-strategy-prize-2170281,msft,
2015-11-04,http://www.ibtimes.com/britain-unveils-web-spying-plan-raising-privacy-fears-2170130,msft,
2015-11-04,http://www.ibtimes.com/press-release/20151104/not-one-three-prizes-sf-bay-area-commuter-app-2170006,msft,
2015-11-04,http://www.ibtimes.com/who-worlds-most-powerful-person-russias-vladimir-putin-tops-new-forbes-list-2169615,msft,
2015-11-04,http://www.ibtimes.com/press-release/20151104/global-content-delivery-network-market-cdn-country-united-states-canada-india,msft,
2015-11-04,http://www.ibtimes.com/california-companies-struggle-combat-human-trafficking-slavery-compliance-2169350,msft,
2015-11-04,http://www.ibtimes.com/press-release/20151104/experian-marketing-services-appoints-digital-marketing-veteran-bridget,msft,
2015-11-04,http://www.ibtimes.com/tinder-about-increase-your-chances-match-30-2169352,msft,
2015-11-04,http://www.ibtimes.com/press-release/20151104/ea-sports-nfl-players-association-discovery-education-team-ea-sports-madden,msft,
2015-11-04,http://www.ibtimes.com/why-netflix-spotify-groupon-other-sites-make-it-almost-impossible-delete-your-account-2160388,msft,
2015-11-04,http://www.ibtimes.com/amazons-first-brick-mortar-bookstore-befuddles-seattle-vexes-indie-booksellers-2168484,msft,
2015-11-04,http://www.ibtimes.com/press-release/20151104/cloud-iam-market-forecast-analysis-2020-2168823,msft,
2015-11-04,http://www.ibtimes.com/press-release/20151104/attunity-reports-record-revenues-third-quarter-2015-2168826,msft,
2015-11-04,http://www.ibtimes.com/microsoft-cuts-down-free-onedrive-cloud-storage-5gb-office-365-unlimited-storage-2168473,msft,
2015-11-04,http://www.ibtimes.com/rares-sea-thieves-wont-appear-again-till-2016-2168215,msft,
2015-11-04,http://www.ibtimes.com/microsoft-lumia-950-alleged-video-shows-brilliant-4k-video-prowess-new-smartphone-2168196,msft,
2015-11-04,http://www.ibtimes.com/press-release/20151104/microsoft-military-affairs-expands-base-it-training-program-new-us-locations,msft,
2015-11-03,http://www.ibtimes.com/press-release/20151103/honeydippedcom-starts-accepting-bitcoin-apple-watch-gold-plating-pre-plated,msft,
2015-11-03,http://www.ibtimes.com/us-energy-tech-stocks-nasdaq-100-sets-record-2168123,msft,
2015-11-03,http://www.ibtimes.com/press-release/20151103/it-market-gcc-2015-2019-reportlinker-review-2168114,msft,
2015-11-03,http://www.ibtimes.com/press-release/20151103/digital-rights-management-market-application-end-user-deployment-industry,msft,
2015-11-03,http://www.ibtimes.com/facebook-inc-fb-q3-2015-earnings-preview-video-ads-instagram-could-drive-revenue-437b-2167830,msft,
2015-11-03,http://www.ibtimes.com/press-release/20151103/grameen-foundation-announces-steve-hollingworth-new-ceo-2167897,msft,
2015-11-03,http://www.ibtimes.com/press-release/20151103/connectsolutions-webinar-how-evolving-elearning-landscape-creating-new,msft,
2015-11-03,http://www.ibtimes.com/surface-book-teardown-fixes-will-be-tough-ifixit-slams-microsoft-laptops-2167614,msft,
2015-11-03,http://www.ibtimes.com/activisions-59b-buy-candy-crush-maker-king-digital-all-about-our-mobile-gaming-2167260,msft,
2015-11-03,http://www.ibtimes.com/press-release/20151103/indix-launches-self-serve-access-product-api-2166845,msft,
2015-11-03,http://www.ibtimes.com/microsoft-end-windows-7-windows-81-sales-2016-windows-10-gains-steam-2166817,msft,
