date,pos,neg,name_mentioned,total,price_change
2015-10-23,38,12,8,515,0.100770354
2015-10-23,10,5,1,250,0.100770354
2015-10-21,115,28,2,1488,-0.011932154
2015-10-22,67,4,3,604,0.017584703
2015-11-05,51,9,1,674,-0.000367665
2015-10-28,11,3,10,233,0.005401397
2015-11-04,75,27,1,878,0.004616805
2015-10-22,13,8,1,295,0.017584703
2015-10-23,37,28,6,702,0.100770354
2015-11-05,69,8,1,626,-0.000367665
2015-10-29,40549,26748,22,797790,-0.011485717
2015-11-09,68,22,24,834,-0.013838274
2015-11-11,0,0,0,3,0.002616408
2015-11-12,50,15,25,764,-0.006151016
2015-11-10,50,33,19,933,-0.012001514
2015-11-04,85,7,2,884,0.004616805
2015-10-15,26,1,2,351,0.007069366
2015-10-26,125,44,1,3902,0.026101778
2015-10-28,28,5,1,369,0.005401397
2015-10-23,13,5,1,226,0.100770354
2015-11-05,64,13,1,748,-0.000367665
2015-11-12,36,0,1,408,-0.006151016
2015-11-06,63,8,1,933,0.009930066
2015-10-22,19,12,14,608,0.017584703
2015-10-15,66,7,2,519,0.007069366
2015-11-06,52,12,1,631,0.009930066
2015-11-02,63,5,1,623,0.011398233
